8623,1180
5925,1183
5925,1153
4194,1153
9077,1162
9407,1143
9407,1126
9407,1176
8601,1154
2735,1154
3472,1180
3472,1187
3472,1216
1310,1221
3310,1180
6776,1196
6776,1133
6776,1126
4486,1133
4486,1126
1266,1165
1266,1126
1266,1176
1266,1183
1266,1199
1266,1153
1266,1217
1266,1148
1266,1182
1636,1153
6132,1162
6132,1169
1229,1173
1229,1153
1229,1132
4747,1153
3247,1196
3247,1133
3247,1126
1237,1165
1237,1126
1237,1176
1237,1217
1237,1182
4954,1211
7831,1142
7831,1151
8792,1175
8792,1203
3860,1154
4326,1154
5153,1173
5153,1153
5153,1132
5153,1154
5153,1203
5252,1162
5252,1156
5252,1154
5252,1215
5252,1142
5252,1218
5252,1151
1483,1156
1483,1215
6795,1162
6795,1180
8334,1206
8334,1203
4184,1153
2657,1153
9639,1129
9639,1121
9639,1204
9639,1201
2378,1162
2378,1142
3414,1133
3414,1126
3414,1148
2849,1133
2849,1126
10178,1218
4640,1218
9279,1154
7287,1114
8754,1217
8754,1182
8205,1129
8205,1121
8205,1204
8205,1201
7504,1186
7504,1181
7504,1153
8659,1218
8659,1151
4813,1211
5471,1154
5471,1218
7559,1168
9879,1154
9879,1151
1274,1182
7996,1182
6604,1162
6604,1142
3228,1164
3228,1182
10144,1153
2758,1162
2758,1180
3376,1193
5837,1169
5837,1154
1755,1165
1755,1126
1755,1176
1755,1217
1755,1182
8765,1207
3250,1181
5973,1219
10199,1163
10199,1153
8909,1154
8909,1203
7764,1162
7764,1169
7764,1128
7764,1194
7764,1207
7764,1123
7764,1154
7764,1137
7764,1221
7764,1148
7764,1218
2214,1173
2214,1153
2214,1132
2214,1154
2214,1203
5738,1141
5738,1133
5738,1126
5595,1141
5595,1133
5595,1126
8791,1196
8791,1133
8791,1126
9057,1124
9057,1158
10464,1110
10464,1182
4338,1110
4338,1182
3895,1110
3895,1182
3900,1183
3900,1148
8750,1153
8277,1221
8492,1183
8492,1148
10005,1153
4063,1153
5104,1153
5713,1110
5713,1182
4146,1110
4146,1182
9354,1193
9136,1156
9136,1154
9136,1215
9136,1203
6959,1124
6959,1156
6959,1215
6959,1158
5779,1124
5779,1156
5779,1215
5779,1158
3485,1113
3485,1221
3485,1192
3929,1172
3929,1115
4593,1175
4593,1203
4949,1175
4949,1203
10130,1172
10130,1154
9472,1172
9472,1154
7989,1172
7989,1154
8529,1172
8529,1154
4767,1172
4767,1154
8554,1156
8554,1154
8554,1215
8554,1148
2253,1182
4164,1196
4164,1133
4164,1126
2035,1196
2035,1133
2035,1126
4555,1139
8915,1176
8915,1139
7846,1162
7846,1169
7846,1154
10153,1190
8426,1139
8426,1153
10355,1176
10355,1191
9891,1126
9891,1176
8436,1196
8436,1133
8436,1126
3128,1154
2140,1133
2140,1126
7594,1193
5334,1196
5334,1133
5334,1126
7366,1180
7727,1154
3753,1217
3753,1182
10147,1164
10147,1182
3407,1137
3531,1133
3531,1126
3531,1176
3531,1147
3531,1161
4988,1196
4988,1133
4988,1126
6814,1172
6814,1154
2997,1165
2997,1126
2997,1176
2997,1217
2997,1182
7931,1134
2483,1219
6649,1219
5365,1133
5365,1126
5365,1153
9522,1140
9522,1133
9522,1126
9522,1149
9522,1160
9522,1176
9522,1217
9522,1147
9522,1191
9522,1161
9522,1164
9522,1182
8644,1157
8644,1221
6156,1133
6156,1126
5704,1153
6501,1156
6501,1154
6501,1215
6501,1142
6501,1218
6501,1151
1676,1162
1676,1156
1676,1154
1676,1215
1676,1142
1676,1218
1676,1151
2566,1143
2566,1126
2566,1176
8024,1142
8024,1151
5589,1143
5589,1126
5589,1176
1437,1142
1437,1151
6628,1137
7067,1137
1337,1183
1337,1153
1337,1188
8781,1153
9048,1169
9048,1154
1885,1153
1885,1152
1885,1148
1885,1193
1351,1196
1351,1133
1351,1126
1351,1182
8108,1143
8108,1126
8108,1176
2693,1143
2693,1126
2693,1176
10486,1143
10486,1126
10486,1176
4264,1143
4264,1126
4264,1176
6822,1172
6822,1153
6822,1154
3584,1154
3584,1151
4140,1180
3614,1166
3854,1154
3854,1203
3281,1162
3281,1134
3281,1157
3281,1156
3281,1154
3281,1215
3281,1221
3281,1142
3033,1204
3033,1139
9471,1162
9471,1154
9471,1142
9471,1151
8592,1153
8592,1168
8592,1152
2141,1165
2141,1126
2141,1176
2141,1217
2141,1182
1550,1165
1550,1126
1550,1176
1550,1217
1550,1182
7245,1162
7245,1142
